,Company,"Company, City, State, ZIP",Fatality or Catastrophe,Inspection #,Preliminary Description of Incident,Summary Report Date,Unnamed: 4,Victim(s),date,place,lat,lng
21,"Mandy Electric, Inc., Tampa, FL�33610",,,,"Worker was found on the ground with hot work gloves lying next to him, apparently electrocuted.",7/31/2009,,,7/10/2009,"Mandy Electric, Inc., Tampa, FL�33610",28.0277033,-82.4998463
22,"Arthur Vincent & Sons Construction Inc, Armonk, NY�10504",,,,Worker fell from a roof.,7/31/2009,,,7/17/2009,"Arthur Vincent & Sons Construction Inc, Armonk, NY�10504",41.1264849,-73.71401949999999
23,"W.W. Transport, Inc., Harriman, TN� 37748",,,,"Worker was in the process of loosening straps on a load of pipe located on a flatbed trailer.� The load shifted, causing the pipe to fall and strike the worker.",7/31/2009,,,7/20/2009,"W.W. Transport, Inc., Harriman, TN� 37748",35.938443,-84.546261
24,"Antonio Renteria Framing, Austin, TX� 78738",,,,"Worker was 12-feet high removing a roof truss and fell, striking his head on the front door concrete patio below.",7/31/2009,,,7/22/2009,"Antonio Renteria Framing, Austin, TX� 78738",30.2966026,-97.9701846
25,"International Marble & Granite Supply, Inc., Chicago, IL� 60622",,,,Worker was working with an overhead crane and a bundle of 7-8 slabs of granite.� The slabs tipped over on the worker.,7/31/2009,,,7/22/2009,"International Marble & Granite Supply, Inc., Chicago, IL� 60622",41.8962813,-87.7010399
26,"T.T.C.S., LLC, Sabine Pass, TX� 77655",,,,"Worker was on the roof of a modular home being placed on pilings.� Lightning struck the roof, electrocuting the worker.",7/31/2009,,,7/23/2009,"T.T.C.S., LLC, Sabine Pass, TX� 77655",29.730441,-93.8725089
27,"Timberwolf Tree Service, Inc., East Windsor, NJ� 08520",,,,Worker was crushed in a chip grinder.,7/31/2009,,,7/23/2009,"Timberwolf Tree Service, Inc., East Windsor, NJ� 08520",40.251462,-74.491462
28,"Charles McCarten & Son, Inc., Gibbstown, NJ� 08027",,,,Worker was caught between the bucket of a backhoe and a wooden deck attached to a building.,7/31/2009,,,7/24/2009,"Charles McCarten & Son, Inc., Gibbstown, NJ� 08027",39.82494000000001,-75.29272999999999
29,"Wenday South dba Wendy's, Dayton, OH� 45459",,,,"Worker was working in the kitchen near the back sink.� She slipped and fell in a wet spot, striking her head on the floor.",7/31/2009,,,7/25/2009,"Wenday South dba Wendy's, Dayton, OH� 45459",39.6371444,-84.223967
30,"Hardrives Asphalt Company, Deerfield Beach, FL",,,,Worker was in an aerial lift pressure washing a building and was electrocuted after the lift contacted an overhead powerline.,7/31/2009,,,7/26/2009,"Hardrives Asphalt Company, Deerfield Beach, FL",26.301116,-80.151336
31,"Pyi Dell Gei a Services JV, Milton, FL",,,,Worker was electrocuted.,7/31/2009,,,7/26/2009,"Pyi Dell Gei a Services JV, Milton, FL",30.6324149,-87.03968809999999
32,"Williams Custom Carpentry, Inc., Lake Forest, IL� 60045",,,,Worker was removing trim from a window and fell 30 feet from a ladder.,7/31/2009,,,7/26/2009,"Williams Custom Carpentry, Inc., Lake Forest, IL� 60045",42.4626167,-88.2541506
33,"Davids Patio LTD, Springtown, TX� 76082",,,,"Worker was performing work on the forks of a forklift truck.� The forks fell, striking the worker on the head.",7/31/2009,,,7/27/2009,"Davids Patio LTD, Springtown, TX� 76082",32.9372415,-97.631613
34,"Jensen Construction Company, Pine Bluff, AR� 71601",,,,"Employees were using a dozer to try and get an overturned all-terrain forklift back on its wheels.� They attached a synthetic strap with a shackle to pull the forklift and turn it upright.� The eye of the strap broke, striking the worker, who was in the cab.",7/31/2009,,,7/27/2009,"Jensen Construction Company, Pine Bluff, AR� 71601",34.1609503,-91.89038819999999
35,"Light Bulbs, Etc., Wichita, KS� 67219",,,,Worker was working on a bucket truck repairing an exterior light fixture and fell 25 feet to the ground below.,7/31/2009,,,7/27/2009,"Light Bulbs, Etc., Wichita, KS� 67219",37.726093,-97.317072
36,"Austin Powder Company, McArthur, OH� 45651",,,,"An explosion occurred, three employees were hospitalized.",7/31/2009,,,7/28/2009,"Austin Powder Company, McArthur, OH� 45651",39.2572613,-82.4294238
37,"Cleco Power LLC, Leesville, LA� 71446",,,,Worker and another employee were closing a tap while clearing a branch from a downed powerline.� Worker was electrocuted.,7/31/2009,,,7/28/2009,"Cleco Power LLC, Leesville, LA� 71446",30.99011029999999,-93.2819804
38,"EK Construction, De Ridder, LA� 70634",,,,"While clearing a branch from a downed powerline.� Worker was electrocuted, and died after being hospitalized.",7/31/2009,,,7/28/2009,"EK Construction, De Ridder, LA� 70634",30.8267878,-93.2949166
39,"Martin's Tree Service, Chadds Ford, PA� 19317",,,,Worker was crushed by a tree that was being pulled down and back cut.,7/31/2009,,,7/28/2009,"Martin's Tree Service, Chadds Ford, PA� 19317",39.872091,-75.575492
40,"Pike Sanitation Company, Waverly, OH� 45690",,,,Worker was doing trash collection and was struck by oncoming traffic.,7/31/2009,,,7/28/2009,"Pike Sanitation Company, Waverly, OH� 45690",39.124801,-82.984685
41,"Aramark Corporation, Flushing, NY� 11371",,,,Worker was run over by a pickup truck.,7/31/2009,,,7/29/2009,"Aramark Corporation, Flushing, NY� 11371",40.7562117,-73.8460752
42,"Basic Industries, Baton Rouge, LA� 70817",,,,"Worker was stationary, being handed scaffold material from another employee� Worker collapsed after complaining about being ""woozy.""",7/31/2009,,,7/29/2009,"Basic Industries, Baton Rouge, LA� 70817",30.3482127,-90.9972176
43,"BLD Services, LLC, New Orleans, LA� 70126",,,,"Worker was standing between a sewer bypass pump and an excavator.� The machine turned, crushing him between the excavator and the pump.",7/31/2009,,,7/29/2009,"BLD Services, LLC, New Orleans, LA� 70126",30.0014974,-90.27705069999999
44,"Garfield Alloys, Garfield Hts., OH� 44125",,,,Worker was working on a pump in a magnesium recycling area.� He was in the process of turning a shaft with a pipe wrench to free up a vertical propeller when the hose connected to the pump either split or broke open.� The force of the steam blew him against a metal cage.,7/31/2009,,,7/30/2009,"Garfield Alloys, Garfield Hts., OH� 44125",41.4319588,-81.6001873
45,"Jerry Castle & Son Hi-Lift, Elk Grove Village, IL� 60007",,,,Worker was working under a lift truck performing maintenance.� The jacks failed and the lift truck fell on the worker.,7/31/2009,,,7/30/2009,"Jerry Castle & Son Hi-Lift, Elk Grove Village, IL� 60007",41.9927335,-87.9777715
46,"Ruth Lake Country Club, Hillsdale, IL� 60521",,,,Worker was standing on the back of a golf cart and fell off.� He was then run over by a truck.,7/31/2009,,,7/31/2009,"Ruth Lake Country Club, Hillsdale, IL� 60521",41.7783444,-87.9420584
47,"Saenz Transport dba Luis Saenz, Rhine, GA 31077",,,,"Victim was standing beside a tractor trailer dump truck operating the dump controls, unloading gravel. The load and the body shifted, causing the trailer to rollover, crushing the victim.",8/7/2009,,,7/13/2009,"Saenz Transport dba Luis Saenz, Rhine, GA 31077",31.98962289999999,-83.2001537
48,"Dausin Electric Company San Antonio, TX 78249",,,,Victim was completing electrical work from a ladder. He was shocked and fell 8 feet to the ground.,8/7/2009,,,7/23/2009,"Dausin Electric Company San Antonio, TX 78249",29.5676137,-98.6050736
49,"Tuttle's Machine and Supplies, New Iberia, LA 70563",,,,Victim was polishing a shaft. The shaft flew out and struck him on the chest.,8/7/2009,,,7/24/2009,"Tuttle's Machine and Supplies, New Iberia, LA 70563",30.025833,-91.823258
50,"Times Printing Co., Inc., Random Lake, WI 53075",,,,Victim was noted to be somewhat disoriented and had a large knob on head.,8/7/2009,,,7/27/2009,"Times Printing Co., Inc., Random Lake, WI 53075",43.551386,-87.942144
51,"Mueller Copper Tube Co., Inc., Fulton, MS 38843",,,,"In replacing an air pump with an electric pump that was leaking naphtha, an explosion occurred. One employee fatality and one employee hospitalization.",8/7/2009,,,7/29/2009,"Mueller Copper Tube Co., Inc., Fulton, MS 38843",34.2500938,-88.40873320000001
52,"NOW Specialities, Inc. Dallas, TX 75202",,,,Victim fell from a swing stage after the cable supports broke.,8/7/2009,,,7/30/2009,"NOW Specialities, Inc. Dallas, TX 75202",32.9499721,-96.8682006
53,"Twin Oaks Moving Co., Inc., Wrightstown, NJ 08562",,,,Victim fell 15 feet at an air freight terminal.,8/7/2009,,,7/31/2009,"Twin Oaks Moving Co., Inc., Wrightstown, NJ 08562",40.0437716,-74.61725489999999
54,"OSO Construction, LLC Bayonne, NJ 07002",,,,Victim fell 60 feet from a flat roof.,8/7/2009,,,8/3/2009,"OSO Construction, LLC Bayonne, NJ 07002",40.671148,-74.114462
55,"CAMtech Precision Manufacturing, Inc. Euless, TX 76040",,,,Victim was moving a large metal fixture with a bridge crane. The fixture slipped off the supports and crushed him.,8/7/2009,,,8/4/2009,"CAMtech Precision Manufacturing, Inc. Euless, TX 76040",32.819076,-97.07535380000002
56,"CGH Speciality Contractors, Inc. Independence, LA 70443",,,,"Victim, during the repair/construction of building gutters, fell from a mechanical lift.",8/7/2009,,,8/4/2009,"CGH Speciality Contractors, Inc. Independence, LA 70443",30.631357,-90.51944700000001
57,"Perfecto Entreprise Company Inc., Staten Island, NY 10302",,,,Victim was crushed by a skid steer bucket.,8/7/2009,,,8/4/2009,"Perfecto Entreprise Company Inc., Staten Island, NY 10302",40.6397314,-74.1391434
58,"Shawn Hoppingarner Roofing, Webster, TX 77598",,,,"Victim was performing roofing operations. While removing a skylight on the roof, stepped into the open hole and fell.",8/7/2009,,,8/4/2009,"Shawn Hoppingarner Roofing, Webster, TX 77598",29.5377315,-95.1182645
59,"Siller Brothers, Inc., McCall, ID 83638",,,,Lightning struck a maintenance truck as it was on an airport tarmac. Four employees were hospitalized.,8/7/2009,,,8/4/2009,"Siller Brothers, Inc., McCall, ID 83638",44.8997705,-116.1213326
60,"YRC Corp., Dallas, TX 75247",,,,Victim was returning to a job assignment and was struck by a yard-truck.,8/7/2009,,,8/4/2009,"YRC Corp., Dallas, TX 75247",32.816906,-96.991309
61,"Roofing/Renovations, Collage Point, NY 11356",,,,"Victim was installing roof shingles from a 20-foot aluminum ladder, contracted an electrical service and fell from the ladder.",8/7/2009,,,8/5/2009,"Roofing/Renovations, Collage Point, NY 11356",40.785052,-73.84057
62,"Albert J. Wagner & Son, Incorporated Chicago, IL 60614",,,,Victim was at the jobsite to inspect and fell from the scaffolding.,8/7/2009,,,8/6/2009,"Albert J. Wagner & Son, Incorporated Chicago, IL 60614",41.9371922,-87.6481259
63,"Eastcao Enterprises Incorporated, Myerstown, PA 17405",,,,Victim was cutting steel from an aerial lift and fell 7-8 feet to the floor below.,8/7/2009,,,8/7/2009,"Eastcao Enterprises Incorporated, Myerstown, PA 17405",40.0431857,-77.189131
64,"L&J Roustabout Batesville, TX 78829",,,,"Employees were removing a cap on a 12-inch natural gas pipeline. Employees working nearby were doing some oxygen/acetylene cutting. While removing the cap, natural gas escaped and was ignited by the cutting process. One employee fatality and two employees were hospitalized.",8/14/2009,,,7/8/2009,"L&J Roustabout Batesville, TX 78829",28.8435905,-99.58960429999999
65,"United Parcel Service Co., Miami, FL 33152",,,,"Victim was unloading a palette of boxed flowers, and was struck on the torso, while pulling a box towards him. The stack of boxed fell, causing him to lose his balance, and fall backwards down 1'8"" high.",8/14/2009,,,8/2/2009,"United Parcel Service Co., Miami, FL 33152",25.7941872,-80.3146264
66,"L&L Fleet Services, LLC Madison, AL 35756",,,,"The safety supports failed on a dump truck bed, causing the bed of the dump truck to fall onto the victim, crushing him.",8/14/2009,,,8/3/2009,"L&L Fleet Services, LLC Madison, AL 35756",34.7463279,-86.7745108
67,"Walt Disney World Lake Buena Vista, FL 32830",,,,"Victim, during a choreographed sword fight, stumbled and fell into a wall.",8/14/2009,,,8/6/2009,"Walt Disney World Lake Buena Vista, FL 32830",28.365398,-81.5212643
68,"Zodiac Services Americas College Park, GA 30337",,,,"Victim was found off his forklift, apparent heart attack.",8/14/2009,,,8/6/2009,"Zodiac Services Americas College Park, GA 30337",33.62286040000001,-84.4647531
69,"Sweeping Services of Texas - Operating LP Lewisville, TX 75022",,,,Victim was picking up trash/debris along the roadside and was struck by a tire that had sheared off a truck axle.,8/14/2009,,,8/10/2009,"Sweeping Services of Texas - Operating LP Lewisville, TX 75022",33.0218117,-97.12516989999999
70,"Lucas Construction Group, Inc. Avenel, NJ 07001",,,,Victim was struck on the head by a metal trench plate.,8/14/2009,,,8/11/2009,"Lucas Construction Group, Inc. Avenel, NJ 07001",40.360966,-74.28961
71,"MJM Greenway Landscaping & Management, Inc. Port Orange, FL 32128",,,,"Victim was doing landscaping services. He was later found collapsed in the company truck, apparent heat stress.",8/14/2009,,,8/11/2009,"MJM Greenway Landscaping & Management, Inc. Port Orange, FL 32128",29.080222,-81.044619
72,"Superior Construction, LLC Jacksonville, FL 32256",,,,Victim was surveying the ramp shoulder and was struck by an automobile.,8/14/2009,,,8/11/2009,"Superior Construction, LLC Jacksonville, FL 32256",30.1680154,-81.5255056
73,"SMC, Inc. Odessa, TX 79764",,,,Victim leaned across a horizontal milling machine turning at 138 RPM. One of the sleeves of his shirt was caught by either the spinning shaft or drift. Victim was pulled off the floor and wrapped around the shaft.,8/14/2009,,,8/12/2009,"SMC, Inc. Odessa, TX 79764",31.8699307,-102.4061715
74,"Tank Builders, Inc. Richmond, TX 77407",,,,"Victim was welding on an overhead interior structure of a water tank, and collapsed on the scaffold, possible heat stress.",8/14/2009,,,8/12/2009,"Tank Builders, Inc. Richmond, TX 77407",29.6468383,-95.6788802
75,"Sisler Lumber Company New Creek, WV 26743",,,,"Victim was pouring gasoline into a carburator of a truck, it backfired and covered the victim with buring gasoline.",8/21/2009,,,8/2/2009,"Sisler Lumber Company New Creek, WV 26743",39.4223523,-79.0094355
76,"Time Dameron Construction Co. Jackson, MO 63755",,,,"Victim was working on the second floor, nailing in window jams. He fell out of the window, 13 feet to the ground.",8/21/2009,,,8/7/2009,"Time Dameron Construction Co. Jackson, MO 63755",37.375453,-89.672095
77,"Jersey Central Power & Light Company Wrightstown, NJ 08562",,,,Victim was working on a circuit breaker and received an electricl shock.,8/21/2009,,,8/10/2009,"Jersey Central Power & Light Company Wrightstown, NJ 08562",40.0751823,-74.5639216
78,"Craftsman Drywall Contractors LLC Houston, TX 77070",,,,Victim was removing sheetrock and metal studs. He was electrocuted by exposed wires.,8/21/2009,,,8/13/2009,"Craftsman Drywall Contractors LLC Houston, TX 77070",29.96018789999999,-95.5587992
79,"Jim Stucco Inc. Lawrenceville, GA 30045",,,,Victim died from a heat stroke.,8/21/2009,,,8/13/2009,"Jim Stucco Inc. Lawrenceville, GA 30045",33.9255183,-83.9214896
80,"All Industrial Services, Inc. Monessen, PA 15062",,,,"Victim was removing a 5,000-pound valve using a 50-ton mobile truck crane. During the process, the valve came free from its rigging and fell through the scaffold platform that the victim was standing on. Both the valve and the victim fell 10 feet to the inside of the tank, with the valve pinning the victim to inside wall.",8/21/2009,,,8/14/2009,"All Industrial Services, Inc. Monessen, PA 15062",40.149994,-79.869091
81,"John Molina Contracting New Kensington, PA 15068",,,,Victim fell 18 feet from a ladder jack scaffold.,8/21/2009,,,8/14/2009,"John Molina Contracting New Kensington, PA 15068",40.585904,-79.76721599999999
82,"Park-Mark Inc. Boonville, MO 65233",,,,Victim was operating a walk-behind stripe groover machine and was struck from behind by an errant vehicle.,8/21/2009,,,8/14/2009,"Park-Mark Inc. Boonville, MO 65233",38.932461,-92.69374230000001
83,"Suarez Construction Pearland, TX 77581",,,,Victim was working on a foundation of a single family residence. He collapsed outside the adjacent house.,8/21/2009,,,8/14/2009,"Suarez Construction Pearland, TX 77581",29.5800207,-95.27889259999999
84,"D&M Plumbing Sedalia, MO 65301",,,,"VIctim was working from a ladder, repairing a pipe in the kitchen area, and fell from the ladder.",8/21/2009,,,8/17/2009,"D&M Plumbing Sedalia, MO 65301",38.6508007,-93.21814769999999
85,"Industrial Builders, Inc. Medina, ND 58467",,,,"Victim was covering concrete with a burlap cover. The winds picked up the burlap cover, entagling the victim and pulled him off the bridge. He fell 18-20 feet to the dirt embankment below.",8/21/2009,,,8/17/2009,"Industrial Builders, Inc. Medina, ND 58467",46.8993924,-99.29999029999999
86,"Jim's Auto Service, L.L.C. Lake City, FL 32025",,,,"Victim was installing a ceiling light from a ladder and received an electrical shock from the light wiring. He fell 10 feet to the shop floor, stiking objects in the repair bay on his way down.",8/21/2009,,,8/17/2009,"Jim's Auto Service, L.L.C. Lake City, FL 32025",30.1539812,-82.64439569999999
87,"Trinity Yachts, LLC. Gulfport, MS 39503",,,,Victim was struck on the head by a traveling block of a ship-based crane.,8/21/2009,,,8/17/2009,"Trinity Yachts, LLC. Gulfport, MS 39503",30.429378,-89.05415579999999
88,"Walt Disney World Co. Lake Buena Vista, FL 32830",,,,"Victim was performing tumbling and roll movements, made contact with another employee and afterwards exhibited difficulty breathing.",8/21/2009,,,8/17/2009,"Walt Disney World Co. Lake Buena Vista, FL 32830",28.385233,-81.563874
89,"Boring &Tunneling Co. of America Houston, TX 77054",,,,Victim was 140 feet inside a tunnel adjusting openings when the tunnel became filled with water. Victim drowned.,8/21/2009,,,8/18/2009,"Boring &Tunneling Co. of America Houston, TX 77054",29.6791061,-95.386011
90,"Brock & Sons Construction Cincinnati, OH 45227",,,,Victim was in a man-lift and was electrocuted.,8/21/2009,,,8/18/2009,"Brock & Sons Construction Cincinnati, OH 45227",39.1495912,-84.39099910000002
91,"Delta Demolition, Inc. Chicago, IL 60616",,,,"Victim was driving a skid steer loader from a dumpster, suspended by a crane, at the 7th floor level of a building being demolished. He put the loader into reverse causing the suspended dumpster to swing away from the building, which resulted in the skid steer loader being thrown from the dumpster, falling to the ground below.",8/21/2009,,,8/18/2009,"Delta Demolition, Inc. Chicago, IL 60616",41.909211,-87.796191
92,"Direct TV Home Service Inc. Eldrige, AL 35554",,,,"Victim was installing a new cable TV. While crawling under the house, came in contact with a bare wire, and was electrocuted.",8/21/2009,,,8/18/2009,"Direct TV Home Service Inc. Eldrige, AL 35554",33.8972662,-87.6679765
93,"Metals USA - Royal Aluminum Groveland, FL 34736",,,,"Victim was preparing a piece of equipment for maintenance, and collapsed.",8/21/2009,,,8/18/2009,"Metals USA - Royal Aluminum Groveland, FL 34736",28.639564,-81.82503899999999
94,"Nova Restoration of NY Inc. Brooklyn, NY 11215",,,,Victim fell five stories from a 2-point suspended scaffold after the cable broke.,8/21/2009,,,8/18/2009,"Nova Restoration of NY Inc. Brooklyn, NY 11215",40.7306765,-73.9581092
95,"Denny Hornbeck Construction University City, MO 63130",,,,"Victim was on a ladder changing a light bulb, and fell.",8/21/2009,,,8/19/2009,"Denny Hornbeck Construction University City, MO 63130",38.6682669,-90.32308069999999
96,"Fleek Farms, Inc. Celina, OH 45822",,,,"Victim was operating a forklift. The forklift turned, tipped over, and pinned the victim.",8/21/2009,,,8/19/2009,"Fleek Farms, Inc. Celina, OH 45822",40.5937968,-84.5413933
97,"LTD Lanscaping and Supplies, Inc. Houston, TX 77036",,,,Victim was blowing leaves and debris. The leaf blower he was using contacted an air conditioning unit. Victim was electrocuted.,8/21/2009,,,8/19/2009,"LTD Lanscaping and Supplies, Inc. Houston, TX 77036",29.720173,-95.50882399999999
98,"Master Mechanical Services, Inc. Hinleah, FL 33012",,,,Victim was performing welding operations and was electrocuted.,8/21/2009,,,8/20/2009,"Master Mechanical Services, Inc. Hinleah, FL 33012",25.9124508,-80.2554368
99,"U.S. Forest Service, Wallowa Whitman Nat. Forest Baker City, OR 87814",,,,Victim was preparing a hover hookup and was struck by a snag or tree that had been dislodged b a helicopter rotor wash.,8/21/2009,,,8/20/2009,"U.S. Forest Service, Wallowa Whitman Nat. Forest Baker City, OR 87814",45.81348759999999,-117.0657531
100,"U.S. Forest Service, Wallowa Whitman Nat. Forest, Baker City, OR 87814",,,,Victim was preparing a hover hookup and was struck by a snag or tree that had been dislodged b a helicopter rotor wash.,8/21/2009,,,8/20/2009,"U.S. Forest Service, Wallowa Whitman Nat. Forest, Baker City, OR 87814",45.81348759999999,-117.0657531
101,"Heartland Affordable Housing Platteville, WI 53818",,,,"Victim was operating a lawn tractor and the tractor tipped over, rolling onto the victim.",8/28/2009,,,8/12/2009,"Heartland Affordable Housing Platteville, WI 53818",42.7334108,-90.4515763
102,"Advanced Utility Service, Inc. Sanford, FL 32773",,,,"Victim was working in an aerial lift upgrading three phases of an electrical distribution line. He was on the pole during the process of hoisting and moving the existing energized ""A"" phase and contacted energized conductors and was exposed to 7,620-volts of AC voltage. Victim was electrocuted.",8/28/2009,,,8/13/2009,"Advanced Utility Service, Inc. Sanford, FL 32773",28.8111556,-81.27183409999999
103,"C.A. Franc Construction Washington, PA 15301",,,,Victim was installing asphalt shingles and fell 40 feet to the ground.,8/28/2009,,,8/15/2009,"C.A. Franc Construction Washington, PA 15301",40.1792138,-80.27154709999999
104,"Ultimate Siding and Gutters, LLC Slidell, LA 70461",,,,Victim was working from a basket lifted up by a rough terrain forklift that tipped over on its side.,8/28/2009,,,8/17/2009,"Ultimate Siding and Gutters, LLC Slidell, LA 70461",30.2751945,-89.78117449999999
105,"Asplundh Tree Expert Company Wilkinsburg, PA 15221",,,,"Victim was working in the basket of an articulating truck mounted boom. During movement of the boom, victim was catapulted out of the basket.",8/28/2009,,,8/21/2009,"Asplundh Tree Expert Company Wilkinsburg, PA 15221",40.1525938,-79.56207909999999
106,"Crane and Grain Service York, NE 68467",,,,"Victim was assembling a stairway on the outside of a grain bin. He was stepping from the stairs to a metal ladder and suffered an attack, possible electric shock and fell to the ground.",8/28/2009,,,8/21/2009,"Crane and Grain Service York, NE 68467",40.843236,-97.50168
107,"Southeast Coastal Services Gibsonton, FL 33534",,,,"Victim was pressure washing a vessel standing on a scaffold 15 to 20 feet, and fell.",8/28/2009,,,8/21/2009,"Southeast Coastal Services Gibsonton, FL 33534",33.7613305,-117.8862584
108,"Blockbuster Video Jamestown, ND 58401",,,,"Victim was working an outdoor sale at a store and was struck by a car, pinning the victim to the building.",8/28/2009,,,8/22/2009,"Blockbuster Video Jamestown, ND 58401",46.9019144,-98.7082598
109,"Taylor Brothers & Associates, Ltd. Paulding, OH 45879",,,,Victim was performing drywall work and fell 9 feet from a tubular welded scaffold.,8/28/2009,,,8/22/2009,"Taylor Brothers & Associates, Ltd. Paulding, OH 45879",41.004663,-84.5265227
110,"Cooperative Producers, Inc. Ruskin, NE 60974",,,,"Victim was cleaning out a pit at a grain elevator. He was walking near the unguarded opening and fell through, 15-20 feet, to the bottom of the pit.",8/28/2009,,,8/24/2009,"Cooperative Producers, Inc. Ruskin, NE 60974",40.143898,-97.869208
